Producto;Fecha;Ingreso;Egreso;Precio Venta;Monto Venta;Stock
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-07-10;0,00;5,00;12.425,60;62.128,00;557
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-07-10;0,00;6,00;12.425,60;74.553,60;551
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-07-10;0,00;3,00;15.532,00;46.596,00;548
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-07-11;0,00;2,00;11.713,12;23.426,24;546
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-07-15;0,00;10,00;12.425,60;124.256,00;536
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-07-16;0,00;3,00;12.907,20;38.721,60;533
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-07-17;0,00;10,00;12.907,20;129.072,00;523
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-07-17;0,00;3,00;12.618,40;37.855,20;520
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-07-18;0,00;10,00;12.618,40;126.184,00;510
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-07-21;0,00;5,00;12.618,40;63.092,00;505
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-07-21;0,00;5,00;12.618,40;63.092,00;500
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-07-24;0,00;10,00;12.618,40;126.184,00;490
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-07-24;0,00;5,00;12.618,40;63.092,00;485
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-07-25;0,00;10,00;12.618,40;126.184,00;475
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-07-25;0,00;4,00;12.170,64;48.682,56;471
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-07-25;0,00;4,00;12.618,40;50.473,60;467
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-07-25;0,00;4,00;11.987,48;47.949,92;463
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-07-29;0,00;6,00;12.714,40;76.286,40;457
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-07-29;0,00;6,00;12.714,40;76.286,40;451
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-07-31;0,00;1,00;12.714,40;12.714,40;450
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-07-31;0,00;5,00;12.714,40;63.572,00;445
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-05;0,00;4,00;13.004,00;52.016,00;441
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-06;0,00;5,00;13.004,00;65.020,00;436
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-06;0,00;4,00;13.004,00;52.016,00;432
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-07;0,00;2,00;13.004,00;26.008,00;430
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-08;0,00;2,00;12.353,80;24.707,60;428
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-11;0,00;3,00;16.255,00;48.765,00;425
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-11;0,00;3,00;13.004,00;39.012,00;422
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-11;0,00;1,00;13.004,00;13.004,00;421
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-11;0,00;8,00;13.004,00;104.032,00;413
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-11;0,00;5,00;13.004,00;65.020,00;408
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-12;0,00;5,00;13.004,00;65.020,00;403
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-13;0,00;15,00;12.353,80;185.307,00;388
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-14;0,00;10,00;13.004,00;130.040,00;378
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-18;0,00;15,00;13.004,00;195.060,00;363
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-18;0,00;2,00;13.004,00;26.008,00;361
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-19;0,00;4,00;13.004,00;52.016,00;357
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-20;0,00;2,00;16.255,00;32.510,00;355
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-20;0,00;5,00;13.004,00;65.020,00;350
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-25;0,00;4,00;13.004,00;52.016,00;346
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-26;0,00;6,00;13.100,00;78.600,00;340
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-26;0,00;1,00;16.375,00;16.375,00;339
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-27;0,00;1,00;16.375,00;16.375,00;338
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-27;0,00;10,00;13.100,00;131.000,00;328
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-27;0,00;4,00;13.100,00;52.400,00;324
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-27;0,00;3,00;13.100,00;39.300,00;321
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-28;0,00;5,00;13.100,00;65.500,00;316
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-28;0,00;2,00;12.353,80;24.707,60;314
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-28;0,00;3,00;13.100,00;39.300,00;311
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-29;0,00;-2,00;-13.004,00;26.008,00;313
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-29;0,00;2,00;13.004,00;26.008,00;311
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-29;0,00;1,00;13.100,00;13.100,00;310
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-08-29;0,00;26,00;13.100,00;340.600,00;284
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-01;0,00;40,00;13.100,00;524.000,00;244
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-04;0,00;15,00;13.100,00;196.500,00;229
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-04;0,00;1,00;13.196,00;13.196,00;228
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-04;0,00;1,00;13.196,00;13.196,00;227
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-08;0,00;2,00;13.196,00;26.392,00;225
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-09;0,00;3,00;13.581,60;40.744,80;222
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-09;0,00;2,00;13.870,40;27.740,80;220
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-09;0,00;3,00;16.977,00;50.931,00;217
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-09;0,00;5,00;13.196,00;65.980,00;212
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-10;0,00;3,00;13.870,40;41.611,20;209
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-10;0,00;2,00;13.581,60;27.163,20;207
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-10;0,00;10,00;13.581,60;135.816,00;197
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-11;0,00;5,00;13.677,60;68.388,00;192
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-16;0,00;1,00;16.114,00;16.114,00;191
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-16;0,00;4,00;13.131,28;52.525,12;187
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-16;0,00;5,00;12.246,64;61.233,20;182
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-17;50,00;0,00;0,00;0,00;232
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-18;0,00;2,00;12.891,20;25.782,40;230
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-19;0,00;10,00;12.891,20;128.912,00;220
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-19;0,00;5,00;13.154,40;65.772,00;215
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-19;0,00;2,00;13.154,40;26.308,80;213
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-19;0,00;10,00;12.496,68;124.966,80;203
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-19;0,00;5,00;13.154,40;65.772,00;198
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-24;0,00;3,00;12.452,80;37.358,40;195
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-26;0,00;3,00;12.277,60;36.832,80;192
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-09-30;0,00;5,00;12.277,60;61.388,00;187
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-01;0,00;5,00;12.452,80;62.264,00;182
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-01;0,00;5,00;12.452,80;62.264,00;177
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-02;0,00;1,00;16.114,00;16.114,00;176
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-02;0,00;10,00;11.996,60;119.966,00;166
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-03;0,00;15,00;12.452,80;186.792,00;151
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-03;0,00;5,00;12.891,20;64.456,00;146
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-07;0,00;3,00;12.716,00;38.148,00;143
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-07;0,00;4,00;12.716,00;50.864,00;139
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-08;0,00;2,00;12.803,20;25.606,40;137
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-09;0,00;1,00;12.979,20;12.979,20;136
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-09;0,00;5,00;12.979,20;64.896,00;131
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-13;0,00;2,00;12.979,20;25.958,40;129
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-14;0,00;6,00;12.364,80;74.188,80;123
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-14;0,00;5,00;12.979,20;64.896,00;118
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-15;0,00;10,00;12.364,80;123.648,00;108
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-15;0,00;3,00;12.364,80;37.094,40;105
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-15;0,00;1,00;12.364,80;12.364,80;104
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-16;0,00;10,00;11.746,56;117.465,60;94
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-17;0,00;1,00;12.628,00;12.628,00;93
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-20;0,00;5,00;12.330,24;61.651,20;88
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-21;0,00;5,00;12.330,24;61.651,20;83
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-23;0,00;5,00;13.592,80;67.964,00;78
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-24;0,00;3,00;13.592,80;40.778,40;75
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-27;0,00;5,00;13.417,60;67.088,00;70
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-28;0,00;1,00;12.847,20;12.847,20;69
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-28;0,00;2,00;12.847,20;25.694,40;67
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-29;0,00;1,00;13.787,20;13.787,20;66
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-29;0,00;2,00;12.847,20;25.694,40;64
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-30;0,00;5,00;13.097,84;65.489,20;59
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-30;0,00;3,00;13.510,40;40.531,20;56
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-31;0,00;4,00;13.510,40;54.041,60;52
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-10-31;0,00;1,00;13.510,40;13.510,40;51
Modulo Moto E7 / E7 Power / E7i / E7i Power XT2095 - Gold Edition;2025-11-03;0,00;5,00;13.510,40;67.552,00;46
Modulo Moto E7 Plus - G9 Play - Gold Edition;;;;;;336
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-07-01;-1,00;-1,00;-11.751,20;11.751,20;336
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-07-01;0,00;2,00;11.751,20;23.502,40;334
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-07-02;0,00;1,00;14.689,00;14.689,00;333
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-07-02;0,00;14,00;11.516,18;161.226,46;319
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-07-02;0,00;1,00;11.751,20;11.751,20;318
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-07-02;0,00;5,00;11.896,00;59.480,00;313
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-07-03;0,00;5,00;11.896,00;59.480,00;308
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-07-07;0,00;10,00;12.040,80;120.408,00;298
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-07-07;0,00;3,00;12.040,80;36.122,40;295
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-07-08;-1,00;-1,00;-12.329,60;12.329,60;295
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-07-08;0,00;3,00;12.232,80;36.698,40;292
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-07-10;0,00;2,00;12.425,60;24.851,20;290
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-07-15;0,00;10,00;12.425,60;124.256,00;280
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-07-17;0,00;5,00;12.907,20;64.536,00;275
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-07-17;0,00;10,00;12.907,20;129.072,00;265
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-07-17;0,00;3,00;12.618,40;37.855,20;262
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-07-18;0,00;8,00;12.618,40;100.947,20;254
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-07-23;0,00;2,00;12.811,20;25.622,40;252
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-07-24;0,00;5,00;12.618,40;63.092,00;247
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-07-25;0,00;4,00;12.618,40;50.473,60;243
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-07-25;0,00;3,00;11.987,48;35.962,44;240
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-08-01;0,00;5,00;13.004,00;65.020,00;235
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-08-01;-1,00;-1,00;-12.618,40;12.618,40;235
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-08-05;0,00;4,00;13.004,00;52.016,00;231
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-08-06;0,00;10,00;13.004,00;130.040,00;221
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-08-07;0,00;1,00;13.004,00;13.004,00;220
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-08-07;0,00;2,00;13.004,00;26.008,00;218
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-08-11;0,00;3,00;13.004,00;39.012,00;215
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-08-11;0,00;2,00;12.870,40;25.740,80;213
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-08-11;0,00;10,00;12.870,40;128.704,00;203
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-08-12;0,00;8,00;12.870,40;102.963,20;195
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-08-13;150,00;0,00;0,00;0,00;345
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-08-13;0,00;15,00;12.226,88;183.403,20;330
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-08-18;0,00;5,00;12.870,40;64.352,00;325
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-08-21;0,00;1,00;12.870,40;12.870,40;324
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-08-21;0,00;1,00;16.088,00;16.088,00;323
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-08-21;0,00;2,00;12.870,40;25.740,80;321
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-08-26;0,00;20,00;12.965,60;259.312,00;301
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-08-27;0,00;3,00;12.965,60;38.896,80;298
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-08-27;0,00;3,00;12.965,60;38.896,80;295
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-08-28;0,00;5,00;12.965,60;64.828,00;290
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-08-28;0,00;2,00;12.226,88;24.453,76;288
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-08-29;0,00;-2,00;-13.004,00;26.008,00;290
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-08-29;0,00;2,00;13.004,00;26.008,00;288
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-09-01;0,00;2,00;16.207,00;32.414,00;286
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-09-01;0,00;10,00;12.965,60;129.656,00;276
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-09-02;0,00;3,00;12.965,60;38.896,80;273
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-09-02;0,00;10,00;12.965,60;129.656,00;263
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-09-05;0,00;10,00;13.060,80;130.608,00;253
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-09-08;0,00;1,00;13.060,80;13.060,80;252
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-09-08;0,00;3,00;13.060,80;39.182,40;249
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-09-09;0,00;5,00;13.442,40;67.212,00;244
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-09-09;0,00;3,00;16.803,00;50.409,00;241
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-09-09;0,00;3,00;13.060,80;39.182,40;238
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-09-10;0,00;3,00;13.728,00;41.184,00;235
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-09-12;0,00;7,00;13.442,40;94.096,80;228
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-09-12;0,00;1,00;13.680,00;13.680,00;227
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-09-16;0,00;4,00;12.996,00;51.984,00;223
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-09-18;0,00;2,00;14.013,60;28.027,20;221
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-09-19;0,00;10,00;13.585,00;135.850,00;211
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-09-19;0,00;10,00;14.300,00;143.000,00;201
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-09-23;0,00;2,00;14.109,60;28.219,20;199
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-09-23;0,00;2,00;13.537,60;27.075,20;197
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-09-24;0,00;2,00;16.922,00;33.844,00;195
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-09-25;0,00;2,00;12.679,08;25.358,16;193
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-09-25;0,00;4,00;13.346,40;53.385,60;189
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-09-30;0,00;2,00;13.537,60;27.075,20;187
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-10-01;0,00;2,00;13.346,40;26.692,80;185
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-10-02;0,00;1,00;17.517,00;17.517,00;184
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-10-02;0,00;5,00;13.041,60;65.208,00;179
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-10-03;0,00;6,00;13.537,60;81.225,60;173
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-10-03;0,00;2,00;14.013,60;28.027,20;171
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-10-07;0,00;2,00;13.823,20;27.646,40;169
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-10-07;0,00;1,00;13.918,40;13.918,40;168
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-10-07;0,00;2,00;13.918,40;27.836,80;166
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-10-08;0,00;3,00;13.918,40;41.755,20;163
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-10-14;0,00;1,00;13.442,40;13.442,40;162
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-10-14;0,00;5,00;14.109,60;70.548,00;157
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-10-15;0,00;5,00;13.442,40;67.212,00;152
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-10-16;0,00;2,00;13.442,40;26.884,80;150
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-10-16;0,00;3,00;13.442,40;40.327,20;147
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-10-17;0,00;1,00;13.728,00;13.728,00;146
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-10-17;0,00;3,00;13.442,40;40.327,20;143
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-10-21;0,00;20,00;13.728,00;274.560,00;123
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-10-22;0,00;25,00;14.109,60;352.740,00;98
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-10-23;0,00;2,00;14.776,80;29.553,60;96
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-10-28;0,00;2,00;14.585,60;29.171,20;94
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-10-30;0,00;1,00;13.966,40;13.966,40;93
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-10-30;0,00;2,00;14.629,60;29.259,20;91
Modulo Moto E7 Plus - G9 Play - Gold Edition;2025-11-03;0,00;4,00;14.629,60;58.518,40;87
Modulo Moto G8 Power XT2041 - Gold Edition;;;;;;148
Modulo Moto G8 Power XT2041 - Gold Edition;2025-07-07;0,00;5,00;15.788,80;78.944,00;143
Modulo Moto G8 Power XT2041 - Gold Edition;2025-07-10;0,00;2,00;16.293,60;32.587,20;141
Modulo Moto G8 Power XT2041 - Gold Edition;2025-07-10;0,00;3,00;16.293,60;48.880,80;138
Modulo Moto G8 Power XT2041 - Gold Edition;2025-07-11;0,00;2,00;15.358,84;30.717,68;136
Modulo Moto G8 Power XT2041 - Gold Edition;2025-07-17;0,00;2,00;16.546,40;33.092,80;134
Modulo Moto G8 Power XT2041 - Gold Edition;2025-07-23;0,00;2,00;16.799,20;33.598,40;132
Modulo Moto G8 Power XT2041 - Gold Edition;2025-07-28;0,00;10,00;15.719,08;157.190,80;122
Modulo Moto G8 Power XT2041 - Gold Edition;2025-08-01;0,00;10,00;16.672,80;166.728,00;112
Modulo Moto G8 Power XT2041 - Gold Edition;2025-08-05;0,00;2,00;17.052,00;34.104,00;110
Modulo Moto G8 Power XT2041 - Gold Edition;2025-08-14;0,00;5,00;16.199,40;80.997,00;105
Modulo Moto G8 Power XT2041 - Gold Edition;2025-08-14;0,00;5,00;17.052,00;85.260,00;100
Modulo Moto G8 Power XT2041 - Gold Edition;2025-08-20;0,00;1,00;17.052,00;17.052,00;99
Modulo Moto G8 Power XT2041 - Gold Edition;2025-08-25;0,00;10,00;17.052,00;170.520,00;89
Modulo Moto G8 Power XT2041 - Gold Edition;2025-09-01;0,00;10,00;17.178,40;171.784,00;79
Modulo Moto G8 Power XT2041 - Gold Edition;2025-09-03;0,00;2,00;17.178,40;34.356,80;77
Modulo Moto G8 Power XT2041 - Gold Edition;2025-09-04;0,00;1,00;17.304,00;17.304,00;76
Modulo Moto G8 Power XT2041 - Gold Edition;2025-09-05;0,00;3,00;17.304,00;51.912,00;73
Modulo Moto G8 Power XT2041 - Gold Edition;2025-09-09;0,00;2,00;17.304,00;34.608,00;71
Modulo Moto G8 Power XT2041 - Gold Edition;2025-09-12;0,00;4,00;17.809,60;71.238,40;67
Modulo Moto G8 Power XT2041 - Gold Edition;2025-09-16;0,00;2,00;17.219,32;34.438,64;65
Modulo Moto G8 Power XT2041 - Gold Edition;2025-09-19;0,00;2,00;18.567,20;37.134,40;63
Modulo Moto G8 Power XT2041 - Gold Edition;2025-09-19;0,00;3,00;17.999,08;53.997,24;60
