Producto;Fecha;Ingreso;Egreso;Precio Venta;Monto Venta;Stock
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-07-15;0,00;5,00;11.596,00;57.980,00;123
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-07-15;0,00;1,00;11.016,20;11.016,20;122
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-07-18;0,00;2,00;11.508,00;23.016,00;120
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-07-23;0,00;15,00;11.684,00;175.260,00;105
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-07-24;0,00;5,00;11.508,00;57.540,00;100
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-07-29;0,00;4,00;11.596,00;46.384,00;96
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-07-30;0,00;5,00;11.596,00;57.980,00;91
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-08-04;0,00;2,00;11.860,00;23.720,00;89
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-08-07;0,00;2,00;11.860,00;23.720,00;87
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-08-13;0,00;10,00;11.267,00;112.670,00;77
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-08-19;0,00;1,00;11.860,00;11.860,00;76
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-08-21;0,00;2,00;11.860,00;23.720,00;74
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-08-25;0,00;2,00;11.860,00;23.720,00;72
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-08-29;0,00;4,00;11.947,20;47.788,80;68
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-09-12;0,00;5,00;12.606,40;63.032,00;63
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-09-16;0,00;20,00;12.825,60;256.512,00;43
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-09-16;0,00;5,00;11.976,08;59.880,40;38
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-09-23;0,00;2,00;13.396,80;26.793,60;36
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-10-07;0,00;2,00;12.825,60;25.651,20;34
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-10-14;0,00;4,00;13.696,80;54.787,20;30
